TRIPID,HOUSEID,PERSONID,TDTRPNUM,STRTTIME,TRPMILES,TRPTRANS,LOOP_TRIP,TRIPPURP,TRAVDAY,HOMEOWN,HHSIZE,HHFAMINC,HHSTATE,WRKCOUNT,LIF_CYC,URBAN,URBANSIZE,CENSUS_D,HH_RACE,EDUC,WORKER,WHYTRP90,R_AGE_IMP,R_SEX_IMP,OBHUR,DBHUR,OBPPOPDN,DBPPOPDN,TRAVELMODE
1777,376,1,2,1357,2.637,3,2,NHB,4,2,4,1,CA,0,6,1,4,9,3,1,2,4,17,1,U,U,7000,3000,PASSENGER
1778,376,1,3,1430,2.252,3,2,HBO,4,2,4,1,CA,0,6,1,4,9,3,1,2,4,17,1,U,U,3000,7000,PASSENGER
1779,376,2,1,730,1.329,3,2,HBO,4,2,4,1,CA,0,6,1,4,9,3,1,2,4,56,2,U,U,7000,7000,PASSENGER
1780,376,2,2,746,2.637,3,2,NHB,4,2,4,1,CA,0,6,1,4,9,3,1,2,5,56,2,U,U,7000,3000,PASSENGER
1781,376,2,3,1420,2.252,3,2,HBO,4,2,4,1,CA,0,6,1,4,9,3,1,2,5,56,2,U,U,3000,7000,PASSENGER
1782,376,3,1,730,1.329,3,2,HBO,4,2,4,1,CA,0,6,1,4,9,3,1,2,4,54,1,U,U,7000,7000,PASSENGER
1783,376,3,2,746,2.637,3,2,NHB,4,2,4,1,CA,0,6,1,4,9,3,1,2,4,54,1,U,U,7000,3000,PASSENGER
1784,376,3,3,801,2.252,3,2,HBO,4,2,4,1,CA,0,6,1,4,9,3,1,2,4,54,1,U,U,3000,7000,PASSENGER
1785,376,3,4,1335,1.329,3,2,HBO,4,2,4,1,CA,0,6,1,4,9,3,1,2,4,54,1,U,U,7000,7000,PASSENGER
1786,376,3,5,1346,2.637,3,2,NHB,4,2,4,1,CA,0,6,1,4,9,3,1,2,4,54,1,U,U,7000,3000,PASSENGER
1787,376,3,6,1424,2.252,3,2,HBO,4,2,4,1,CA,0,6,1,4,9,3,1,2,4,54,1,U,U,3000,7000,PASSENGER
1788,376,4,1,720,1.329,3,2,HBO,4,2,4,1,CA,0,6,1,4,9,3,-1,-1,5,10,1,U,U,7000,7000,PASSENGER
1789,376,4,2,1403,2.637,3,2,NHB,4,2,4,1,CA,0,6,1,4,9,3,-1,-1,5,10,1,U,U,7000,3000,PASSENGER
1790,376,4,3,1415,2.252,3,2,HBO,4,2,4,1,CA,0,6,1,4,9,3,-1,-1,5,10,1,U,U,3000,7000,PASSENGER
1791,377,1,1,800,17.658,5,2,NHB,4,2,1,1,NC,0,1,2,6,5,2,3,2,4,58,2,T,T,750,1500,PASSENGER
1792,377,1,2,1230,17.585,5,2,HBO,4,2,1,1,NC,0,1,2,6,5,2,3,2,4,58,2,T,T,1500,750,PASSENGER
1793,377,1,3,1400,0.089,1,2,HBSOCREC,4,2,1,1,NC,0,1,2,6,5,2,3,2,10,58,2,T,T,750,750,WALK
1794,377,1,4,1445,0.333,1,1,NHB,4,2,1,1,NC,0,1,2,6,5,2,3,2,3,58,2,T,T,750,750,WALK
1795,377,1,5,1615,0.943,1,2,NHB,4,2,1,1,NC,0,1,2,6,5,2,3,2,3,58,2,T,T,750,750,WALK
1796,377,1,6,1720,0.943,1,2,HBSHOP,4,2,1,1,NC,0,1,2,6,5,2,3,2,10,58,2,T,T,750,750,WALK
1797,377,1,7,2030,0.089,1,2,HBSOCREC,4,2,1,1,NC,0,1,2,6,5,2,3,2,10,58,2,T,T,750,750,WALK
1798,378,1,1,1115,27.499,3,2,HBSOCREC,3,2,1,1,NY,0,1,1,1,2,1,2,2,8,61,2,S,T,1500,750,PASSENGER
1799,378,1,2,1400,3.157,3,2,NHB,3,2,1,1,NY,0,1,1,1,2,1,2,2,10,61,2,T,T,750,3000,PASSENGER
1800,378,1,3,1500,19.737,3,2,HBSHOP,3,2,1,1,NY,0,1,1,1,2,1,2,2,8,61,2,T,S,3000,1500,PASSENGER
1801,379,1,1,615,1.333,1,1,HBO,3,2,1,1,TX,0,9,1,2,7,2,2,2,10,72,1,S,S,1500,1500,WALK
1802,380,1,1,900,1.698,11,2,HBO,1,2,1,1,WI,0,1,1,4,3,2,1,2,4,49,2,U,U,17000,7000,RAIL
1803,380,1,2,931,1.485,11,2,NHB,1,2,1,1,WI,0,1,1,4,3,2,1,2,10,49,2,U,U,7000,7000,RAIL
1804,380,1,3,1130,2.981,11,2,HBSOCREC,1,2,1,1,WI,0,1,1,4,3,2,1,2,10,49,2,U,U,7000,17000,RAIL
1805,381,2,1,630,17.115,11,2,HBO,4,2,4,1,IL,0,3,1,5,3,2,1,2,5,16,2,U,U,7000,17000,RAIL
1806,381,2,2,1445,17.593,11,2,HBO,4,2,4,1,IL,0,3,1,5,3,2,1,2,5,16,2,U,U,17000,7000,RAIL
1807,381,3,1,600,17.601,11,2,HBO,4,2,4,1,IL,0,3,1,5,3,2,1,-1,11,14,1,U,U,7000,17000,RAIL
1808,381,3,2,1445,17.593,11,2,HBO,4,2,4,1,IL,0,3,1,5,3,2,1,-1,11,14,1,U,U,17000,7000,RAIL
1809,382,1,1,1100,1.981,2,2,HBW,5,2,2,4,CA,2,2,1,5,9,6,4,1,1,28,2,U,U,30000,17000,CYCLE
1810,382,1,2,2015,1.981,2,2,HBW,5,2,2,4,CA,2,2,1,5,9,6,4,1,1,28,2,U,U,17000,30000,CYCLE
1811,382,2,1,1100,3.559,11,2,HBW,5,2,2,4,CA,2,2,1,5,9,6,3,1,1,31,1,U,U,30000,30000,RAIL
1812,382,2,2,1730,2.722,11,2,HBW,5,2,2,4,CA,2,2,1,5,9,6,3,1,1,31,1,U,U,30000,30000,RAIL
1813,382,2,3,2200,0.334,1,2,HBSOCREC,5,2,2,4,CA,2,2,1,5,9,6,3,1,10,31,1,U,U,30000,30000,WALK
1814,382,2,4,100,0.334,1,2,HBSOCREC,5,2,2,4,CA,2,2,1,5,9,6,3,1,10,31,1,U,U,30000,30000,WALK
1815,383,1,1,830,2.846,3,2,HBO,2,1,2,3,CA,1,2,1,3,9,1,3,1,4,47,2,S,U,750,7000,DRIVE
1816,383,1,2,845,2.25,3,2,NHB,2,1,2,3,CA,1,2,1,3,9,1,3,1,4,47,2,U,U,7000,7000,DRIVE
1817,383,1,3,940,1.98,3,2,HBO,2,1,2,3,CA,1,2,1,3,9,1,3,1,4,47,2,U,S,7000,750,DRIVE
1818,383,1,4,1020,0.945,3,2,HBSHOP,2,1,2,3,CA,1,2,1,3,9,1,3,1,3,47,2,S,S,750,3000,DRIVE
1819,383,1,5,1030,4.481,3,2,NHB,2,1,2,3,CA,1,2,1,3,9,1,3,1,4,47,2,S,U,3000,17000,DRIVE
1820,383,1,6,1050,5.565,3,2,HBO,2,1,2,3,CA,1,2,1,3,9,1,3,1,4,47,2,U,S,17000,750,DRIVE
1821,383,2,1,845,2.248,3,2,NHB,2,1,2,3,CA,1,2,1,3,9,1,1,2,4,54,1,U,U,7000,7000,PASSENGER
1822,383,2,2,940,1.98,3,2,HBO,2,1,2,3,CA,1,2,1,3,9,1,1,2,4,54,1,U,S,7000,750,PASSENGER
1823,384,1,1,750,10.772,11,2,HBSOCREC,3,2,1,7,CA,0,9,1,5,9,2,2,2,10,75,1,U,U,17000,3000,RAIL
1824,384,1,2,1045,15.043,11,2,HBSOCREC,3,2,1,7,CA,0,9,1,5,9,2,2,2,10,75,1,U,U,3000,17000,RAIL
1825,385,1,1,1300,2.969,3,2,HBSHOP,4,2,1,4,TX,0,1,1,4,7,1,2,2,3,75,2,C,S,7000,3000,PASSENGER
1826,385,1,2,1630,3.038,3,2,HBSHOP,4,2,1,4,TX,0,1,1,4,7,1,2,2,3,75,2,S,C,3000,7000,PASSENGER
1827,385,1,3,1800,0.865,3,2,HBO,4,2,1,4,TX,0,1,1,4,7,1,2,2,11,75,2,C,C,7000,7000,PASSENGER
1828,385,1,4,1810,0.262,1,2,NHB,4,2,1,4,TX,0,1,1,4,7,1,2,2,10,75,2,C,C,7000,7000,WALK
1829,385,1,5,2030,0.262,1,2,NHB,4,2,1,4,TX,0,1,1,4,7,1,2,2,11,75,2,C,C,7000,7000,WALK
1830,385,1,6,2051,0.768,3,2,HBO,4,2,1,4,TX,0,1,1,4,7,1,2,2,10,75,2,C,C,7000,7000,PASSENGER
1831,386,1,1,800,4.085,17,2,NHB,6,2,1,9,CA,1,1,1,5,9,1,2,1,2,32,1,S,U,1500,17000,TAXI
1832,386,1,2,1200,0.129,1,2,NHB,6,2,1,9,CA,1,1,1,5,9,1,2,1,10,32,1,U,U,17000,17000,WALK
1833,386,1,3,1215,0.129,1,2,NHB,6,2,1,9,CA,1,1,1,5,9,1,2,1,2,32,1,U,U,17000,17000,WALK
1834,386,1,4,1730,4.453,17,2,NHB,6,2,1,9,CA,1,1,1,5,9,1,2,1,2,32,1,U,S,17000,1500,TAXI
1835,387,1,1,1730,0.789,12,2,HBO,7,2,1,3,CA,0,9,1,5,9,1,4,2,5,69,2,U,U,17000,7000,RAIL
1836,387,1,2,2130,0.246,1,2,NHB,7,2,1,3,CA,0,9,1,5,9,1,4,2,11,69,2,U,U,7000,7000,WALK
1837,387,1,3,2155,0.442,1,2,NHB,7,2,1,3,CA,0,9,1,5,9,1,4,2,10,69,2,U,U,7000,17000,WALK
1838,387,1,4,2215,0.52,12,2,HBSHOP,7,2,1,3,CA,0,9,1,5,9,1,4,2,5,69,2,U,U,17000,17000,RAIL
1839,388,2,1,1000,0.556,1,1,HBO,2,2,2,1,NC,0,2,4,6,5,1,2,2,10,33,1,R,R,50,50,WALK
1840,388,2,2,1200,0.556,1,1,HBO,2,2,2,1,NC,0,2,4,6,5,1,2,2,10,33,1,R,R,50,50,WALK
1841,388,2,3,1400,0.556,1,1,HBO,2,2,2,1,NC,0,2,4,6,5,1,2,2,10,33,1,R,R,50,50,WALK
1842,388,2,4,1800,0.556,1,1,HBO,2,2,2,1,NC,0,2,4,6,5,1,2,2,10,33,1,R,R,50,50,WALK
1843,389,1,1,1300,2.646,11,2,HBO,3,2,1,1,NY,0,1,1,1,2,3,5,2,11,25,2,C,S,7000,3000,RAIL
1844,389,1,2,1500,3.069,10,2,NHB,3,2,1,1,NY,0,1,1,1,2,3,5,2,3,25,2,S,S,3000,300,RAIL
1845,389,1,3,1600,5.572,11,2,HBSHOP,3,2,1,1,NY,0,1,1,1,2,3,5,2,3,25,2,S,C,300,7000,RAIL
1846,390,1,1,1330,5.579,18,2,HBSHOP,1,2,1,3,NY,0,1,1,3,2,1,2,2,3,92,2,C,S,3000,750,PASSENGER
1847,390,1,2,1610,5.215,18,2,NHB,1,2,1,3,NY,0,1,1,3,2,1,2,2,10,92,2,S,S,750,1500,PASSENGER
1848,390,1,3,1745,8.148,18,2,HBSHOP,1,2,1,3,NY,0,1,1,3,2,1,2,2,3,92,2,S,C,1500,3000,PASSENGER
1849,391,1,1,815,0.641,1,2,HBSHOP,3,2,1,1,WI,1,1,1,4,3,2,2,1,3,63,2,U,U,7000,17000,WALK
1850,391,1,2,900,0.641,1,2,HBSHOP,3,2,1,1,WI,1,1,1,4,3,2,2,1,3,63,2,U,U,17000,7000,WALK
1851,391,1,3,1800,7.478,11,2,HBSOCREC,3,2,1,1,WI,1,1,1,4,3,2,2,1,8,63,2,U,S,7000,3000,RAIL
1852,391,1,4,2200,6.269,11,2,HBSOCREC,3,2,1,1,WI,1,1,1,4,3,2,2,1,8,63,2,S,U,3000,7000,RAIL
1853,392,1,1,915,0.202,1,2,HBSHOP,6,2,1,9,DC,1,1,1,5,5,1,5,1,3,36,1,U,U,30000,30000,WALK
1854,392,1,2,935,0.202,1,2,HBSHOP,6,2,1,9,DC,1,1,1,5,5,1,5,1,3,36,1,U,U,30000,30000,WALK
1855,392,1,3,1005,1.476,2,2,HBW,6,2,1,9,DC,1,1,1,5,5,1,5,1,1,36,1,U,U,30000,17000,CYCLE
1856,392,1,4,1310,0.144,1,2,NHB,6,2,1,9,DC,1,1,1,5,5,1,5,1,4,36,1,U,U,17000,3000,WALK
1857,392,1,5,1323,0.144,1,2,NHB,6,2,1,9,DC,1,1,1,5,5,1,5,1,4,36,1,U,U,3000,17000,WALK
1858,392,1,6,1525,1.477,2,2,HBW,6,2,1,9,DC,1,1,1,5,5,1,5,1,1,36,1,U,U,17000,30000,CYCLE
1859,392,1,7,1755,4.835,4,2,HBSOCREC,6,2,1,9,DC,1,1,1,5,5,1,5,1,10,36,1,U,U,30000,50,PASSENGER
1860,392,1,8,2035,4.129,4,2,HBSOCREC,6,2,1,9,DC,1,1,1,5,5,1,5,1,10,36,1,U,U,50,30000,PASSENGER
1861,392,1,9,2100,0.148,1,2,HBSHOP,6,2,1,9,DC,1,1,1,5,5,1,5,1,10,36,1,U,U,30000,30000,WALK
1862,392,1,10,2212,0.148,1,2,HBSHOP,6,2,1,9,DC,1,1,1,5,5,1,5,1,10,36,1,U,U,30000,30000,WALK
1863,393,1,1,1000,9.503,3,2,HBSHOP,5,1,2,5,WI,0,10,2,6,3,1,4,2,3,80,2,T,R,3000,50,PASSENGER
1864,393,1,2,1230,14.424,3,2,HBSHOP,5,1,2,5,WI,0,10,2,6,3,1,4,2,3,80,2,R,T,50,3000,PASSENGER
1865,393,1,3,1415,0.975,3,2,HBO,5,1,2,5,WI,0,10,2,6,3,1,4,2,4,80,2,T,T,3000,3000,PASSENGER
1866,393,1,4,1750,0.973,3,2,HBO,5,1,2,5,WI,0,10,2,6,3,1,4,2,4,80,2,T,T,3000,3000,PASSENGER
1867,394,1,1,700,50.764,6,2,HBO,3,2,1,1,NC,0,1,2,6,5,2,2,2,6,55,1,T,S,3000,1500,PASSENGER
1868,394,1,2,1400,50.659,6,2,HBO,3,2,1,1,NC,0,1,2,6,5,2,2,2,6,55,1,S,T,1500,3000,PASSENGER
1869,395,1,1,930,7.204,17,2,HBSOCREC,2,2,1,3,NY,0,9,1,1,2,4,3,2,8,59,2,T,C,750,7000,TAXI
1870,395,1,2,1400,4.797,17,2,NHB,2,2,1,3,NY,0,9,1,1,2,4,3,2,3,59,2,C,T,7000,1500,TAXI
1871,395,1,3,1450,1.403,6,2,HBSHOP,2,2,1,3,NY,0,9,1,1,2,4,3,2,8,59,2,T,T,1500,750,DRIVE
1872,395,1,4,1900,0.078,1,2,HBSOCREC,2,2,1,3,NY,0,9,1,1,2,4,3,2,10,59,2,T,T,750,750,WALK
1873,395,1,5,2000,0.077,1,2,HBSOCREC,2,2,1,3,NY,0,9,1,1,2,4,3,2,10,59,2,T,T,750,750,WALK
1874,396,1,1,900,1.059,2,2,HBSHOP,5,2,1,1,NC,1,1,1,1,5,2,1,1,4,73,1,C,C,1500,1500,CYCLE
1875,396,1,2,940,1.059,2,2,HBSHOP,5,2,1,1,NC,1,1,1,1,5,2,1,1,4,73,1,C,C,1500,1500,CYCLE
1876,396,1,3,1500,0.654,1,2,HBSOCREC,5,2,1,1,NC,1,1,1,1,5,2,1,1,10,73,1,C,C,1500,3000,WALK
1877,396,1,4,1540,0.654,1,2,HBSOCREC,5,2,1,1,NC,1,1,1,1,5,2,1,1,10,73,1,C,C,3000,1500,WALK
1878,397,1,1,815,0.439,1,2,HBO,3,2,2,1,PA,0,3,1,5,2,97,2,2,4,27,2,U,U,17000,17000,WALK
1879,397,1,2,840,0.439,1,2,HBO,3,2,2,1,PA,0,3,1,5,2,97,2,2,4,27,2,U,U,17000,17000,WALK
1880,397,1,3,910,0.729,1,2,HBSHOP,3,2,2,1,PA,0,3,1,5,2,97,2,2,3,27,2,U,U,17000,17000,WALK
1881,397,1,4,1030,0.729,1,2,HBSHOP,3,2,2,1,PA,0,3,1,5,2,97,2,2,3,27,2,U,U,17000,17000,WALK
1882,397,1,5,1115,0.254,1,2,HBSHOP,3,2,2,1,PA,0,3,1,5,2,97,2,2,4,27,2,U,U,17000,17000,WALK
1883,397,1,6,1200,0.254,1,2,HBSHOP,3,2,2,1,PA,0,3,1,5,2,97,2,2,4,27,2,U,U,17000,17000,WALK
1884,397,1,7,1435,0.439,1,2,HBO,3,2,2,1,PA,0,3,1,5,2,97,2,2,4,27,2,U,U,17000,17000,WALK
1885,397,1,8,1500,0.162,1,2,NHB,3,2,2,1,PA,0,3,1,5,2,97,2,2,3,27,2,U,U,17000,30000,WALK
1886,397,1,9,1515,0.278,1,2,HBSHOP,3,2,2,1,PA,0,3,1,5,2,97,2,2,4,27,2,U,U,30000,17000,WALK
1887,397,1,10,1630,0.843,1,2,HBSHOP,3,2,2,1,PA,0,3,1,5,2,97,2,2,3,27,2,U,U,17000,30000,WALK
1888,397,1,11,1655,0.547,1,2,NHB,3,2,2,1,PA,0,3,1,5,2,97,2,2,4,27,2,U,U,30000,17000,WALK
1889,397,1,12,1702,0.348,1,2,HBO,3,2,2,1,PA,0,3,1,5,2,97,2,2,3,27,2,U,U,17000,17000,WALK
1890,398,1,1,930,2.383,17,2,HBSHOP,6,1,1,2,WI,0,1,1,1,3,1,1,2,3,67,2,C,T,7000,300,TAXI
1891,398,1,2,1020,2.666,17,2,HBSHOP,6,1,1,2,WI,0,1,1,1,3,1,1,2,3,67,2,T,C,300,7000,TAXI
1892,398,1,3,1215,0.734,1,2,HBSHOP,6,1,1,2,WI,0,1,1,1,3,1,1,2,3,67,2,C,C,7000,3000,WALK
1893,398,1,4,1235,0.734,1,2,HBSHOP,6,1,1,2,WI,0,1,1,1,3,1,1,2,3,67,2,C,C,3000,7000,WALK
1894,399,1,1,1000,1.251,1,2,HBSHOP,2,2,4,1,CT,0,4,2,6,1,1,2,2,4,35,2,C,C,7000,7000,WALK
1895,399,1,2,1050,1.251,1,2,HBSHOP,2,2,4,1,CT,0,4,2,6,1,1,2,2,4,35,2,C,C,7000,7000,WALK
1896,399,1,3,1330,0.29,1,2,HBSHOP,2,2,4,1,CT,0,4,2,6,1,1,2,2,3,35,2,C,C,7000,7000,WALK
1897,399,1,4,1400,0.29,1,2,HBSHOP,2,2,4,1,CT,0,4,2,6,1,1,2,2,3,35,2,C,C,7000,7000,WALK
1898,399,2,1,1000,1.251,1,2,HBO,2,2,4,1,CT,0,4,2,6,1,1,2,2,11,42,1,C,C,7000,7000,WALK
1899,399,2,2,1050,1.251,1,2,HBO,2,2,4,1,CT,0,4,2,6,1,1,2,2,11,42,1,C,C,7000,7000,WALK
1900,399,4,1,835,1.905,10,2,HBO,2,2,4,1,CT,0,4,2,6,1,1,-1,-1,5,9,2,C,C,7000,3000,RAIL
1901,399,4,2,1530,1.905,10,2,HBO,2,2,4,1,CT,0,4,2,6,1,1,-1,-1,5,9,2,C,C,3000,7000,RAIL
1902,400,1,1,930,2.735,11,2,HBSOCREC,6,2,1,3,TX,0,9,1,4,7,97,5,2,8,72,2,C,C,7000,7000,RAIL
1903,400,1,2,1545,0.383,11,2,NHB,6,2,1,3,TX,0,9,1,4,7,97,5,2,4,72,2,C,C,7000,7000,RAIL
1904,400,1,3,1650,2.57,3,2,HBO,6,2,1,3,TX,0,9,1,4,7,97,5,2,8,72,2,C,C,7000,7000,PASSENGER
1905,400,1,4,1720,0.111,1,1,HBO,6,2,1,3,TX,0,9,1,4,7,97,5,2,10,72,2,C,C,7000,7000,WALK
1906,400,1,5,1730,0.111,1,1,HBO,6,2,1,3,TX,0,9,1,4,7,97,5,2,10,72,2,C,C,7000,7000,WALK
1907,401,1,1,910,1.316,3,2,HBSHOP,4,2,1,2,GA,0,1,1,2,5,1,3,2,10,70,1,S,S,1500,1500,PASSENGER
1908,401,1,2,1011,0.132,3,2,NHB,4,2,1,2,GA,0,1,1,2,5,1,3,2,10,70,1,S,S,1500,1500,PASSENGER
1909,401,1,3,1148,1.101,3,2,NHB,4,2,1,2,GA,0,1,1,2,5,1,3,2,3,70,1,S,S,1500,1500,PASSENGER
1910,401,1,4,1235,1.774,3,2,HBSHOP,4,2,1,2,GA,0,1,1,2,5,1,3,2,10,70,1,S,S,1500,1500,PASSENGER
1911,401,1,5,1255,2.901,3,2,HBSHOP,4,2,1,2,GA,0,1,1,2,5,1,3,2,10,70,1,S,S,1500,1500,PASSENGER
1912,401,1,6,1330,1.026,3,2,HBSHOP,4,2,1,2,GA,0,1,1,2,5,1,3,2,10,70,1,S,S,1500,1500,PASSENGER
1913,402,1,1,1015,0.711,11,2,HBO,1,2,1,2,WI,0,1,2,6,3,1,3,2,4,47,1,C,C,3000,3000,RAIL
1914,402,1,2,1200,2.288,11,2,NHB,1,2,1,2,WI,0,1,2,6,3,1,3,2,3,47,1,C,C,3000,1500,RAIL
1915,402,1,3,1350,1.577,11,2,HBSHOP,1,2,1,2,WI,0,1,2,6,3,1,3,2,3,47,1,C,C,1500,3000,RAIL
1916,403,1,1,830,4.255,16,2,HBW,2,2,2,8,NY,2,2,1,5,2,1,5,1,1,35,1,U,U,30000,30000,BUS
1917,403,1,2,1210,0.122,1,2,NHB,2,2,2,8,NY,2,2,1,5,2,1,5,1,4,35,1,U,U,30000,30000,WALK
1918,403,1,3,1222,0.096,1,2,NHB,2,2,2,8,NY,2,2,1,5,2,1,5,1,4,35,1,U,U,30000,30000,WALK
1919,403,1,4,1225,0.253,1,2,NHB,2,2,2,8,NY,2,2,1,5,2,1,5,1,10,35,1,U,U,30000,30000,WALK
1920,403,1,5,1250,0.357,1,2,NHB,2,2,2,8,NY,2,2,1,5,2,1,5,1,10,35,1,U,U,30000,30000,WALK
1921,403,1,6,1705,4.658,16,2,NHB,2,2,2,8,NY,2,2,1,5,2,1,5,1,3,35,1,U,U,30000,30000,BUS
1922,403,1,7,1739,0.159,1,2,HBSHOP,2,2,2,8,NY,2,2,1,5,2,1,5,1,1,35,1,U,U,30000,30000,WALK
1923,403,2,1,1130,0.158,1,2,HBSHOP,2,2,2,8,NY,2,2,1,5,2,1,3,1,11,25,1,U,U,30000,30000,WALK
1924,403,2,2,1145,5.874,16,2,NHB,2,2,2,8,NY,2,2,1,5,2,1,3,1,10,25,1,U,U,30000,30000,BUS
1925,403,2,3,1346,0.599,1,2,NHB,2,2,2,8,NY,2,2,1,5,2,1,3,1,1,25,1,U,U,30000,30000,WALK
1926,403,2,4,1902,0.28,1,2,NHB,2,2,2,8,NY,2,2,1,5,2,1,3,1,4,25,1,U,U,30000,30000,WALK
1927,403,2,5,1929,0.28,1,2,NHB,2,2,2,8,NY,2,2,1,5,2,1,3,1,4,25,1,U,U,30000,30000,WALK
1928,403,2,6,2310,2.284,16,2,NHB,2,2,2,8,NY,2,2,1,5,2,1,3,1,10,25,1,U,U,30000,30000,BUS
1929,403,2,7,202,2.569,16,2,NHB,2,2,2,8,NY,2,2,1,5,2,1,3,1,10,25,1,U,U,30000,17000,BUS
1930,404,1,1,1230,2.187,3,2,HBSOCREC,3,2,1,5,ND,0,9,2,6,4,1,2,2,10,85,2,C,C,3000,7000,PASSENGER
1931,404,1,2,1600,2.924,3,2,HBSOCREC,3,2,1,5,ND,0,9,2,6,4,1,2,2,10,85,2,C,C,7000,3000,PASSENGER
1932,405,1,1,915,5.272,3,2,HBO,4,1,1,4,CA,0,9,1,1,9,1,3,2,5,87,2,T,C,7000,7000,PASSENGER
1933,405,1,2,1130,2.376,3,2,NHB,4,1,1,4,CA,0,9,1,1,9,1,3,2,10,87,2,C,S,7000,3000,PASSENGER
1934,405,1,3,1400,3.684,3,2,HBSHOP,4,1,1,4,CA,0,9,1,1,9,1,3,2,10,87,2,S,T,3000,7000,PASSENGER
1935,406,1,1,900,0.418,1,2,HBSHOP,1,2,3,3,NY,0,8,2,6,2,1,3,2,3,50,2,S,C,1500,3000,WALK
1936,406,1,2,1100,0.418,1,2,HBSHOP,1,2,3,3,NY,0,8,2,6,2,1,3,2,3,50,2,C,S,3000,1500,WALK
1937,406,1,3,1300,3.052,11,2,HBSHOP,1,2,3,3,NY,0,8,2,6,2,1,3,2,3,50,2,S,R,1500,50,RAIL
1938,406,1,4,1445,4.087,11,2,HBSHOP,1,2,3,3,NY,0,8,2,6,2,1,3,2,3,50,2,R,S,50,1500,RAIL
1939,406,2,1,900,0.418,1,2,HBSHOP,1,2,3,3,NY,0,8,2,6,2,1,1,2,3,63,1,S,C,1500,3000,WALK
1940,406,2,2,1100,0.418,1,2,HBSHOP,1,2,3,3,NY,0,8,2,6,2,1,1,2,3,63,1,C,S,3000,1500,WALK
1941,406,2,3,1300,3.052,11,2,HBSHOP,1,2,3,3,NY,0,8,2,6,2,1,1,2,3,63,1,S,R,1500,50,RAIL
1942,406,2,4,1445,3.052,11,2,HBSHOP,1,2,3,3,NY,0,8,2,6,2,1,1,2,3,63,1,R,S,50,1500,RAIL
1943,406,3,1,1400,3.198,3,2,HBO,1,2,3,3,NY,0,8,2,6,2,1,1,2,4,17,1,S,S,1500,1500,PASSENGER
1944,406,3,2,1800,4.245,3,2,HBO,1,2,3,3,NY,0,8,2,6,2,1,1,2,4,17,1,S,S,1500,1500,PASSENGER
1945,407,1,1,1450,2.61,10,2,HBO,1,2,1,6,TX,1,1,1,4,7,1,5,1,11,28,1,U,U,7000,17000,RAIL
1946,407,1,2,1511,0.476,1,2,NHB,1,2,1,6,TX,1,1,1,4,7,1,5,1,10,28,1,U,U,17000,17000,WALK
1947,407,1,3,1600,0.781,1,2,NHB,1,2,1,6,TX,1,1,1,4,7,1,5,1,1,28,1,U,U,17000,3000,WALK
1948,407,1,4,1920,0.792,1,2,NHB,1,2,1,6,TX,1,1,1,4,7,1,5,1,10,28,1,U,U,3000,17000,WALK
1949,407,1,5,2130,0.401,1,2,NHB,1,2,1,6,TX,1,1,1,4,7,1,5,1,11,28,1,U,U,17000,17000,WALK
1950,407,1,6,2200,2.222,10,2,HBO,1,2,1,6,TX,1,1,1,4,7,1,5,1,1,28,1,U,U,17000,7000,RAIL
1951,408,1,1,830,1.693,11,2,HBSHOP,3,2,1,1,NY,0,1,2,6,2,4,2,2,4,50,2,T,T,3000,300,RAIL
1952,408,1,2,855,1.693,11,2,HBSHOP,3,2,1,1,NY,0,1,2,6,2,4,2,2,4,50,2,T,T,300,3000,RAIL
1953,408,1,3,1000,1.785,11,2,HBSHOP,3,2,1,1,NY,0,1,2,6,2,4,2,2,3,50,2,T,T,3000,300,RAIL
1954,408,1,4,1115,1.785,11,2,HBSHOP,3,2,1,1,NY,0,1,2,6,2,4,2,2,3,50,2,T,T,300,3000,RAIL
1955,408,1,5,1131,0.111,1,1,HBO,3,2,1,1,NY,0,1,2,6,2,4,2,2,10,50,2,T,T,3000,3000,WALK
1956,408,1,6,1230,0.111,1,1,HBO,3,2,1,1,NY,0,1,2,6,2,4,2,2,10,50,2,T,T,3000,3000,WALK
1957,408,1,7,1520,0.116,97,2,HBSHOP,3,2,1,1,NY,0,1,2,6,2,4,2,2,10,50,2,T,T,3000,7000,OTHER
1958,408,1,8,1555,0.116,97,2,HBSHOP,3,2,1,1,NY,0,1,2,6,2,4,2,2,10,50,2,T,T,7000,3000,OTHER
1959,408,1,9,1830,0.111,1,1,HBO,3,2,1,1,NY,0,1,2,6,2,4,2,2,10,50,2,T,T,3000,3000,WALK
1960,408,1,10,2030,0.111,1,1,HBO,3,2,1,1,NY,0,1,2,6,2,4,2,2,10,50,2,T,T,3000,3000,WALK
1961,409,1,1,1230,2.088,3,2,HBSHOP,6,1,1,1,NC,0,9,2,6,5,2,3,2,3,71,2,R,R,1500,300,PASSENGER
1962,409,1,2,1330,0.396,3,2,NHB,6,1,1,1,NC,0,9,2,6,5,2,3,2,3,71,2,R,R,300,1500,PASSENGER
1963,409,1,3,1400,1.268,3,2,NHB,6,1,1,1,NC,0,9,2,6,5,2,3,2,4,71,2,R,R,1500,300,PASSENGER
1964,409,1,4,1407,0.61,3,2,NHB,6,1,1,1,NC,0,9,2,6,5,2,3,2,10,71,2,R,R,300,1500,PASSENGER
